Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-March-2021,2071.10,2085.00,2001.00,2009.50,2055.738381213894761882,975274,17106,2004908194.00,464495,47.63,84.00,-61.60
17-March-2021,2100.00,2103.75,2035.35,2055.15,2065.901643523563201848,243197,13024,502421082.00,51262,21.08,68.40,-44.85
16-March-2021,2114.80,2125.80,2096.05,2100.45,2108.407886657314072367,223111,11870,470408992.00,54392,24.38,29.75,-14.35
15-March-2021,2138.65,2148.80,2080.90,2108.75,2103.309452767345729659,513109,42112,1079227010.00,194815,37.97,67.90,-29.90
12-March-2021,2199.00,2205.00,2123.65,2138.65,2159.388623479202496974,298281,14795,644104598.00,51130,17.14,81.35,-60.35
10-March-2021,2211.00,2215.75,2170.15,2181.70,2187.183893193792912491,249199,12139,545044039.00,61722,24.77,45.60,-29.30
9-March-2021,2200.00,2214.70,2146.20,2190.20,2181.730518596794594681,312285,13943,681321715.00,48475,15.52,68.50,-9.80
8-March-2021,2171.50,2231.00,2169.45,2190.45,2207.488244171412725837,375048,18728,827914051.00,69183,18.45,61.55,18.95
5-March-2021,2168.00,2212.50,2155.00,2178.55,2185.995581337539813263,430447,21366,940955240.00,56656,13.16,57.50,10.55
4-March-2021,2179.70,2189.65,2158.00,2175.70,2186.184920577658455450,1316695,18492,2878538754.00,1034246,78.55,31.65,-4.00
3-March-2021,2121.70,2220.00,2107.20,2201.35,2165.025802121675289775,1101111,56971,2383933726.00,534506,48.54,112.80,79.65
2-March-2021,2124.00,2130.00,2089.25,2106.20,2107.813631949232331769,269778,16637,568641746.00,68576,25.42,40.75,-17.80
1-March-2021,2114.45,2114.45,2063.20,2101.15,2092.720543440023343268,366701,20413,767402716.00,48778,13.30,51.25,-13.30
26-February-2021,2109.00,2133.40,2070.15,2083.85,2100.046403568346216442,902603,53103,1895508184.00,290913,32.23,63.25,-25.15
25-February-2021,2078.00,2152.25,2071.00,2144.85,2095.398763670708640562,2401302,77372,5031685242.00,1743444,72.60,81.25,66.85
24-February-2021,2025.80,2081.50,2000.55,2065.55,2043.259931713932230062,1580996,52217,3230385779.00,611374,38.67,80.95,39.75
23-February-2021,2028.00,2053.10,2013.80,2024.25,2035.202648509441313706,420916,18426,856649358.00,104005,24.71,39.30,-3.75
22-February-2021,2080.00,2089.70,1995.10,2007.40,2038.359563338289561874,649015,41412,1322925932.00,231422,35.66,94.60,-72.60
